Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22nF","C_0603_1608Metric",145.000000,-113.000000,-90.000000,top
"C2","22nF","C_0603_1608Metric",127.000000,-110.000000,0.000000,top
"C3","22nF","C_0603_1608Metric",162.775000,-113.000000,180.000000,top
"D1","TSAL6200","LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm",115.025000,-116.725000,-90.000000,top
"D2","BPV22NF","XDCR_BPV22NF",123.000000,-113.500000,90.000000,top
"D3","BPV22NF","XDCR_BPV22NF",169.000000,-113.730000,-90.000000,top
"D4","BPV22NF","XDCR_BPV22NF",135.730000,-108.000000,0.000000,top
"D5","TSAL6200","LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm",150.775000,-110.025000,180.000000,top
"D6","TSAL6200","LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm",166.000000,-122.275000,90.000000,top
"Q1","C9634","SOT-89-3",122.000000,-120.000000,0.000000,top
"Q2","C9634","SOT-89-3",142.000000,-118.000000,180.000000,top
"Q3","C9634","SOT-89-3",150.862500,-118.000000,0.000000,top
"R1","33","R_0603_1608Metric",115.825000,-113.000000,0.000000,top
"R2","33","R_0603_1608Metric",145.000000,-109.000000,90.000000,top
"R3","33","R_0603_1608Metric",161.000000,-119.000000,180.000000,top
"R5","2M","R_0603_1608Metric",140.000000,-110.000000,-90.000000,top
"R6","2M","R_0603_1608Metric",123.000000,-110.000000,180.000000,top
"R7","2M","R_0603_1608Metric",162.825000,-109.000000,180.000000,top
"U1","LM324DT","SOIC127P600X175-14N",131.000000,-116.000000,90.000000,top
