Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22nF,C_0603_1608Metric,145.0,-113.0,-90.0,top
C2,22nF,C_0603_1608Metric,127.0,-110.0,0.0,top
C3,22nF,C_0603_1608Metric,162.775,-113.0,180.0,top
D1,TSAL6200,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,108.0,-118.0,-90.0,top
D2,BPV22NF,XDCR_BPV22NF,122.6,-113.7375,90.0,top
D3,BPV22NF,XDCR_BPV22NF,169.4,-113.4925,-90.0,top
D4,BPV22NF,XDCR_BPV22NF,135.4925,-107.6,0.0,top
D5,TSAL6200,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,149.5,-103.0,180.0,top
D6,TSAL6200,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,173.025,-121.0,90.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,144.2,-125.725,90.0,bottom
Q1,C9634,SOT-89-3,122.0,-120.0,0.0,top
Q2,C9634,SOT-89-3,142.0,-118.0,180.0,top
Q3,C9634,SOT-89-3,150.8625,-118.0,0.0,top
R1,33,R_0603_1608Metric,115.825,-113.0,0.0,top
R2,33,R_0603_1608Metric,145.0,-109.0,90.0,top
R3,33,R_0603_1608Metric,161.0,-119.0,180.0,top
R5,2M,R_0603_1608Metric,140.0,-110.0,-90.0,top
R6,2M,R_0603_1608Metric,123.0,-110.0,180.0,top
R7,2M,R_0603_1608Metric,162.825,-109.0,180.0,top
U1,LM324DT,SOIC127P600X175-14N,131.0,-116.0,90.0,top
